municipality_id,town_name,platform_vendor,homepage_url,batch_id,processed_in_db,pages_count,contacts_count,winners_count,blocked_403_count,crawl_diagnostic_class,classification
ct_farmington,Farmington,Granicus,https://www.farmington-ct.org/,batch_granicus_vendor_probe,no,,0,0,2,blocked_or_forbidden,blocked_or_403
ct_glastonbury,Glastonbury,Granicus,https://www.glastonburyct.gov/,batch_granicus_vendor_probe,no,,0,0,2,blocked_or_forbidden,blocked_or_403
ct_hartford,Hartford,Granicus,https://www.hartfordct.gov/Home,batch_granicus_vendor_probe,no,,0,0,2,blocked_or_forbidden,blocked_or_403
ct_manchester,Manchester,Granicus,https://www.manchesterct.gov/Home,batch_granicus_vendor_probe,no,,0,0,2,blocked_or_forbidden,blocked_or_403
ct_new_fairfield,New Fairfield,Granicus,https://www.newfairfield.org/,batch_granicus_vendor_probe,no,,0,0,2,blocked_or_forbidden,blocked_or_403
ct_new_haven,New Haven,Granicus,https://www.newhavenct.gov/,batch_granicus_vendor_probe,no,,0,0,2,blocked_or_forbidden,blocked_or_403
ct_stamford,Stamford,Granicus,https://www.stamfordct.gov/,batch_granicus_vendor_probe,no,,0,0,2,blocked_or_forbidden,blocked_or_403
ct_weston,Weston,Granicus,https://www.westonct.gov/,batch_granicus_vendor_probe,no,,0,0,2,blocked_or_forbidden,blocked_or_403
ct_westport,Westport,Granicus,https://www.westportct.gov/,batch_granicus_vendor_probe,no,,0,0,2,blocked_or_forbidden,blocked_or_403
ct_killingworth,Killingworth,PurpleDog,https://townofkillingworth.com/,batch_non_civicplus_baseline,no,,60,7,0,ok,no_action_until_manual_review
ct_chaplin,Chaplin,Quasar,https://www.chaplinct.org/,batch_non_civicplus_baseline,no,,52,7,0,ok,no_action_until_manual_review
ct_hampton,Hampton,Quasar Internet Solutions,https://www.hamptonct.org/,batch_non_civicplus_baseline,no,,24,5,0,ok,no_action_until_manual_review
ct_sprague,Sprague,"Quasar Internet Solutions, they use news page to post job listings",https://www.ctsprague.org/,batch_non_civicplus_baseline,no,,65,8,0,ok,no_action_until_manual_review
ct_avon,Avon,Revize,https://www.avonct.gov/,batch_revize_trace,yes,92,78,7,0,ok,ready_for_extraction_qa
ct_fairfield,Fairfield,Revize,https://www.fairfieldct.org/,batch_revize_trace,yes,7,1,0,0,ok,needs_deep_page_scrape
