municipality_id,town_name,county,batch_id,priority,status,notes
ct_putnam,Putnam,Windham County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Finalsite
ct_redding,Redding,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=blank
ct_ridgefield,Ridgefield,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Revize
ct_salisbury,Salisbury,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Wordpress
ct_scotland,Scotland,Windham County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=CivicLift
ct_seymour,Seymour,New Haven County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=EvoGov
ct_shelton,Shelton,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Catalis
ct_sherman,Sherman,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=CivicLift
ct_somers,Somers,Tolland County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=egovlink
ct_southbury,Southbury,New Haven County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Catalis
ct_southington,Southington,Hartford County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Revize
ct_sprague,Sprague,New London County,batch_non_civicplus_baseline,1,pending,"baseline_non_civicplus_platform=Quasar Internet Solutions, they use news page to post job listings"
ct_stafford,Stafford,Tolland County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Revize
ct_stamford,Stamford,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Granicus
ct_stratford,Stratford,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Apptegy
ct_suffield,Suffield,Hartford County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Finalsite
ct_thomaston,Thomaston,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=CivicLift
ct_union,Union,Tolland County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=blank
ct_vernon,Vernon,Tolland County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Apptegy
ct_wallingford,Wallingford,New Haven County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Web Solutions
ct_waterbury,Waterbury,New Haven County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Catalis
ct_watertown,Watertown,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Revize
ct_west_hartford,West Hartford,Hartford County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Finalsite
ct_weston,Weston,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Granicus
ct_westport,Westport,Fairfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Granicus
ct_winchester,Winchester,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=CivicLift
ct_windsor_locks,Windsor Locks,Hartford County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Town Web
ct_woodbury,Woodbury,Litchfield County,batch_non_civicplus_baseline,1,pending,baseline_non_civicplus_platform=Catalis
